Side,Tidal_Height,Coquinas
south,Low ,2
south,Low ,0
south,Low ,0
south,Low ,0
south,Low ,9
south,Low ,1
south,Low ,1
south,Low ,1
south,Low ,3
south,Low ,0
south,Low ,3
south,Low ,0
south,Low ,3
south,Low ,0
south,Low ,1
south,Med ,17
south,Med ,18
south,Med ,12
south,Med ,4
south,Med ,3
south,Med ,26
south,Med ,0
south,Med ,0
south,Med ,5
south,Med ,6
south,Med ,2
south,Med ,17
south,Med ,12
south,Med ,5
south,Med ,55
south,High ,3
south,High ,3
south,High ,3
south,High ,1
south,High ,102
south,High ,60
south,High ,7
south,High ,19
south,High ,1
south,High ,16
south,High ,22
south,High ,1
south,High ,1
south,High ,0
south,High ,91
north,Low ,0
north,Low ,0
north,Low ,3
north,Low ,1
north,Low ,0
north,Low ,1
north,Low ,0
north,Low,0
north,Low ,0
north,Low ,0
north,Low ,0
north,Low ,0
north,Low ,0
north,Low ,0
north,Low ,0
north,Med ,1
north,Med ,16
north,Med ,7
north,Med ,3
north,Med ,5
north,Med ,0
north,Med ,0
north,Med ,1
north,Med ,1
north,Med ,0
north,Med ,0
north,Med ,0
north,Med ,0
north,Med ,0
north,Med ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,0
north,High ,2
north,High ,0
