site,tidal_height,plot_number,coquinas,week,quadrat_id,method
50N,low,53,0,2,a,initial
50N,low,96,0,2,a,initial
50N,low,89,0,2,a,initial
50N,low,29,0,2,a,initial
50N,low,18,0,2,a,initial
50N,med,15,0,2,b,initial
50N,med,49,0,2,b,initial
50N,med,47,0,2,b,initial
50N,med,32,0,2,b,initial
50N,med,31,0,2,b,initial
50N,high,62,0,2,c,initial
50N,high,30,0,2,c,initial
50N,high,78,0,2,c,initial
50N,high,32,0,2,c,initial
50N,high,46,0,2,c,initial
25N,low,74,0,1,d,initial
25N,low,5,0,1,d,initial
25N,low,65,0,1,d,initial
25N,low,99,0,1,d,initial
25N,low,16,0,1,d,initial
25N,med,54,0,1,e,initial
25N,med,34,13,1,e,initial
25N,med,22,1,1,e,initial
25N,med,7,3,1,e,initial
25N,med,61,0,1,e,initial
25N,high,96,3,1,f,initial
25N,high,39,1,1,f,initial
25N,high,2,1,1,f,initial
25N,high,73,1,1,f,initial
25N,high,84,3,1,f,initial
0,low,36,0,1,g,initial
0,low,28,0,1,g,initial
0,low,42,0,1,g,initial
0,low,25,0,1,g,initial
0,low,28,1,1,g,initial
0,med,45,0,1,h,initial
0,med,97,0,1,h,initial
0,med,86,0,1,h,initial
0,med,35,0,1,h,initial
0,med,47,0,1,h,initial
0,high,91,0,1,i,initial
0,high,75,0,1,i,initial
0,high,43,0,1,i,initial
0,high,18,0,1,i,initial
0,high,81,0,1,i,initial
25S,low,92,0,1,j,initial
25S,low,51,0,1,j,initial
25S,low,66,0,1,j,initial
25S,low,39,1,1,j,initial
25S,low,61,1,1,j,initial
25S,med,81,3,1,k,initial
25S,med,36,0,1,k,initial
25S,med,97,0,1,k,initial
25S,med,12,4,1,k,initial
25S,med,47,1,1,k,initial
25S,high,54,0,1,l,initial
25S,high,23,0,1,l,initial
25S,high,59,0,1,l,initial
25S,high,95,0,1,l,initial
25S,high,66,0,1,l,initial
50S,low,79,0,2,m,initial
50S,low,48,0,2,m,initial
50S,low,6,0,2,m,initial
50S,low,94,0,2,m,initial
50S,low,20,0,2,m,initial
50S,med,56,0,2,n,initial
50S,med,74,0,2,n,initial
50S,med,29,0,2,n,initial
50S,med,96,1,2,n,initial
50S,med,63,0,2,n,initial
50S,high,87,0,2,o,initial
50S,high,81,4,2,o,initial
50S,high,43,0,2,o,initial
50S,high,71,3,2,o,initial
50S,high,56,0,2,o,initial
75N,low,13,0,4,aa,revised
75N,low,5,1,4,aa,revised
75N,low,10,2,4,aa,revised
75N,low,20,0,4,aa,revised
75N,low,16,0,4,aa,revised
75N,med,18,0,4,bb,revised
